address,score,scorePercentage,distributedTokens,maxBorrow
0xba40A0A06b876690d399436fFB8F3111923fcf24,8611879500000.000000000000,0.653369138390,326684.569195179186399688,3200000.000000000000
0xbDCEe87119265FC0ec27a3113EFC3fBBB90D4D7b,11300487500000.000000000000,0.857349406859,428674.703429490328582727,1000000.000000000000
0x34DA74CE40b5D994B680B585745B35E7D6797719,28688176000000.000000000000,2.176524745279,1088262.372639500918582416,3000000.000000000000
0xC1674596fFAa78398958ef3041ccF0C100F16d5D,4499370100000.000000000000,0.341359811820,170679.905909989833860202,500000.000000000000
0x0d0a3c6DC8a7352A69b2B31E9DB99f05A4c779F1,742246425000.000000000000,0.056313015896,28156.507947862818835258,550000.000000000000
0xE0276B19467e8A37EACFc93CF18d614910B06f6e,2945891252500.000000000000,0.223499925822,111749.962910977717510435,1595000.000000000000
0xb79E346b8ce8Aee91D6B2A62d82Ee3BAE0a58494,5861144317950.000000000000,0.444675382766,222337.691383195514161413,800000.000000000000
0x81c7863dd804F69D93F75d15903e6e560E5aE16C,6684265500000.000000000000,0.507124233509,253562.11675438549761054,600000.000000000000
0x7A13565f60eaC799CD12ce30c829fB85e3657973,6698664000000.000000000000,0.508216624030,254108.312015194335857217,1000000.000000000000
0x0bF7D10FFdc557cb0348c66Ec6C25173EDf99aA8,341828312500.000000000000,0.025933952050,12966.976025126406427554,175000.000000000000
0x6cDbd3b8363502F6332C8d89A84976CC13801186,255516624900.000000000000,0.019385626222,9692.813110966391838108,41700.000000000000
0x9c035924d172A5Ba3ef6E544af9DDA28A47508c4,761420725312.500000000000,0.057767738535,28883.869267445617473729,110000.000000000000
0xf3800C466184c59E1006892fac15aaE97f1Ca220,285761025600.000000000000,0.021680219177,10840.109588262187235823,80000.000000000000
0x409C6c5Ec5C479673f4c09fb80d0F182Fcff643e,1196387160000.000000000000,0.090767926782,45383.963390946646723033,240000.000000000000
0xaa4fF93201f029A54120D223Deb9FC6d0C8cDd45,2446510333000.000000000000,0.185612716520,92806.358259850172463905,1066200.000000000000
0x9A3054d58e0eEd6d6a4D7f6Cc51Bb384890f5088,2443955250000.000000000000,0.185418866573,92709.433286722886367865,1300000.000000000000
0x86247f8E39A5AC9A723B0f5AA10Bf10b2275Ff14,36637830000.000000000000,0.002779651924,1389.82596189324430873,45000.000000000000
0x0fE5EBAc1b0C212225039c6dF437762D5f53C26E,466941435000000.000000000000,35.426078948818,17713039.474409014243592611,75000000.000000000000
0xDFcA068fC7f0777653C5cAd2EA44817bE4Ccb75C,1125040800000.000000000000,0.085354995753,42677.497876624928160043,120000.000000000000
0x6d063675b808a5462122A6Aa5FC0798bAe05984C,48470356520.000000000000,0.003677366256,1838.683128168821292735,500000.000000000000
0xef19411cA4e50E61aa0d95f41f8c6B321D364076,273195975000.000000000000,0.020726929446,10363.464723203795771662,30000.000000000000
0xDa465B6d4af8Bfef08D428016EaE4bB50b99A636,27263538750000.000000000000,2.068439859448,1034219.929723798859656755,3500000.000000000000
0xB0887e70bA285bfD356e630D83BF31572961d6b9,11095731855.000000000000,0.000841814933,420.907466361541799437,65000.000000000000
0x7950e9a8eef8DF107338b75c8b85834bB258bCB7,71798549850.769500732422,0.005447237929,2723.618964575297553764,25000.000000000000
0xfbC5985E27f667d086262ECBBf09b39c158158A3,2869164650000.000000000000,0.217678804641,108839.402320397895956828,1870000.000000000000
0x41Ce2a48c9e2d61d24158e93cEeee7f59baa432D,3148218300000.000000000000,0.238850146259,119425.073129260504214278,1000000.000000000000
0xEb500802eAaAdA8f44CaF98283d45AdeB8EDa0dA,2630745600000.000000000000,0.199590343315,99795.171657721544505187,1100000.000000000000
0x0E2e720044690F7ADF7B831cBa53D2C129671136,10472789000000.000000000000,0.794553282530,397276.641264779823771989,2000000.000000000000
0x2105fA218b5A675A3b1Dd95378590AbA2586c151,1492932500000.000000000000,0.113266334161,56633.167080424412661562,200000.000000000000
0xF212cE21a97dbe30999a4c2B309d278BCcBb686A,1416696400000.000000000000,0.107482426598,53741.213298950740163905,700000.000000000000
0x23F318E306f9de7071133fA26205f3e58D75fCba,7393146780000.000000000000,0.560905890711,280452.945355427487513484,1002000.000000000000
0xfd83F8bCEE04B49199BA72c65cd34cE3Ca938F96,144723233117842.562500000000,10.979913749057,5489956.874528479716099265,32200000.000000000000
0x0cD25946115f3c474A123b9147E7c5fA89c1e721,2529171299104.156250000000,0.191884068110,95942.034055243453773882,900000.000000000000
0xb6F1E44447ca266849e1a74a01bbC572c1F56788,18258207000000.000000000000,1.385220145747,692610.07287333792668338,3000000.000000000000
0x139803fB9f73541c04e671aBbc8543D1F3958c39,28842660000.000000000000,0.002188245192,1094.122596181591592451,660000.000000000000
0x0EEdD535D5FdEb33C41EAf98B52FA2EC5c984b2F,22455000.000000000000,0.000001703624,0.851811965236827643,30000.000000000000
0x2eA64C6De91cE1cF3d3761930AC775476cDEC742,587474400000.000000000000,0.044570716828,22285.358414176182495661,200000.000000000000
0x23E481379A64332F3C6a0667D26Bd083A12b364a,2086615036500.000000000000,0.158308052098,79154.026049155192389004,489900.000000000000
0xA083345EB51A1Eaa908770ACEC8b005279637114,173885106683.963989257813,0.013192377150,6596.188574922413706764,216137.000000000000
0xBb20677f45561d6C668F66Ba1631639f950Af728,365062250000.000000000000,0.027696672688,13848.336344078293587391,100000.000000000000
0x965e756066a96779EC7BD63A032bEBd264cf6962,1632218652718.579101562500,0.123833745559,61916.872779711420805453,1000000.000000000000
